PRISM Time Series Data
Location:  Lat: 44.8983   Lon: -89.7591   Elev: 1243ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2009-01-01 - 2020-12-01
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Apr-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2011-09-08,0.00,48.9,61.0,73.1,50.6,0.55,15.85
2011-09-09,0.00,51.3,65.2,79.0,53.5,0.41,20.27
2011-09-10,0.00,52.9,65.8,78.6,53.4,0.59,20.05
2011-09-11,0.00,55.8,68.8,81.7,57.0,0.41,21.69
2011-09-12,0.00,55.8,68.8,81.8,58.4,0.51,21.05
2011-09-13,0.00,52.5,67.5,82.6,55.9,1.27,21.46
2011-09-14,0.00,42.0,53.2,64.4,41.2,1.91,12.22
2011-09-15,0.00,33.4,43.8,54.2,30.7,0.35,9.30
2011-09-16,0.00,35.9,45.9,56.0,32.6,0.48,9.86
2011-09-17,0.00,35.6,45.9,56.2,35.7,0.32,9.02
2011-09-18,0.03,41.8,51.3,60.9,44.7,0.51,7.99
2011-09-19,0.73,52.7,55.9,59.0,54.3,0.19,2.53
2011-09-20,0.00,42.2,55.4,68.7,47.6,0.21,13.17
2011-09-21,0.02,44.9,55.3,65.7,51.2,0.44,6.88
2011-09-22,0.06,42.7,49.9,57.0,47.5,0.35,3.63
2011-09-23,0.00,40.7,45.3,49.9,40.0,0.40,4.29
2011-09-24,0.18,41.9,49.2,56.5,45.2,0.18,5.00
2011-09-25,0.10,42.1,49.3,56.4,45.5,0.10,5.65
2011-09-26,0.93,47.2,51.6,56.0,51.6,0.27,1.21
2011-09-27,0.91,44.3,52.8,61.2,52.4,0.01,2.92
2011-09-28,0.15,42.3,50.9,59.5,49.9,0.03,3.09
2011-09-29,0.00,43.5,54.4,65.4,50.2,0.01,9.64
2011-09-30,0.13,42.4,51.6,60.8,44.8,0.21,7.26
2011-10-01,0.04,31.7,42.7,53.6,35.5,0.30,6.83
2011-10-02,0.00,30.5,43.7,56.8,33.4,0.08,9.88
2011-10-03,0.00,31.8,50.4,68.9,40.8,0.09,15.93
2011-10-04,0.00,43.2,58.1,72.9,45.2,0.49,17.68
2011-10-05,0.00,44.0,59.2,74.4,47.1,0.49,17.71
2011-10-06,0.00,46.2,62.7,79.2,47.0,0.76,23.48
2011-10-07,0.00,48.6,62.9,77.2,49.0,1.31,20.98
2011-10-08,0.00,56.5,67.7,78.8,49.4,2.93,23.01
2011-10-09,0.00,53.2,66.5,79.7,51.5,2.18,21.58
2011-10-10,0.00,47.7,63.1,78.6,49.5,0.76,21.19
2011-10-11,0.00,50.0,62.6,75.2,49.4,1.14,18.48
2011-10-12,0.09,52.9,59.0,65.1,56.1,0.08,3.84
2011-10-13,0.59,52.6,59.0,65.4,55.7,0.09,5.52
2011-10-14,0.59,43.6,49.9,56.3,48.8,0.17,2.58
2011-10-15,0.00,43.3,46.7,50.0,34.7,1.92,5.69
2011-10-16,0.00,42.1,48.4,54.7,33.6,2.24,8.41
2011-10-17,0.00,40.3,47.6,54.8,29.0,2.10,9.89
2011-10-18,0.00,39.0,47.2,55.4,29.8,1.87,10.01
2011-10-19,0.00,35.1,42.2,49.3,33.9,0.68,5.40
2011-10-20,0.00,37.1,42.4,47.7,33.3,1.06,5.22
2011-10-21,0.00,29.2,36.9,44.6,31.2,0.31,3.88
2011-10-22,0.00,29.6,41.3,53.1,29.9,0.34,8.65
2011-10-23,0.00,29.6,43.5,57.3,32.4,0.31,9.40
2011-10-24,0.18,32.2,42.8,53.4,39.8,0.22,4.87
2011-10-25,0.02,37.1,47.2,57.3,36.0,0.48,9.65
2011-10-26,0.08,36.7,40.0,43.2,36.6,0.38,2.29
2011-10-27,0.00,33.6,40.6,47.7,32.2,0.40,5.49
2011-10-28,0.02,25.2,35.6,46.1,30.4,0.04,4.57
2011-10-29,0.00,25.6,37.2,48.8,29.7,0.07,6.69
2011-10-30,0.00,27.2,37.5,47.8,27.4,0.28,6.40
2011-10-31,0.09,35.9,39.8,43.6,35.2,0.13,4.15
2011-11-01,0.00,34.6,38.9,43.2,35.9,0.22,1.93
2011-11-02,0.01,37.6,47.3,56.9,38.1,0.75,8.39
2011-11-03,0.06,32.0,38.1,44.3,35.8,0.31,2.07
2011-11-04,0.00,23.3,35.9,48.4,25.8,0.32,7.10
2011-11-05,0.00,23.3,37.2,51.1,27.4,0.29,8.53
2011-11-06,0.00,33.8,43.2,52.7,35.5,0.60,6.61
2011-11-07,0.00,34.3,44.7,55.1,36.1,1.25,5.66
2011-11-08,0.00,34.6,43.3,52.1,24.1,1.70,9.47
2011-11-09,0.02,35.6,39.3,42.9,30.8,1.29,3.77
2011-11-10,0.42,29.8,32.9,36.0,29.5,0.26,1.79
2011-11-11,0.00,26.7,31.3,35.9,26.6,0.57,2.09
2011-11-12,0.00,26.3,32.2,38.1,25.2,0.45,3.16
2011-11-13,0.00,26.7,39.8,52.8,33.3,0.34,7.65
2011-11-14,0.00,33.0,41.9,50.8,35.7,0.74,4.56
2011-11-15,0.03,29.1,38.2,47.3,30.2,0.47,4.58
2011-11-16,0.14,27.8,39.2,50.6,26.5,0.63,6.33
2011-11-17,0.00,20.7,27.7,34.8,14.2,0.92,4.24
2011-11-18,0.00,19.7,24.6,29.5,13.5,0.96,2.63
2011-11-19,0.00,27.9,35.8,43.7,24.4,0.71,5.15
2011-11-20,0.15,27.5,31.9,36.4,28.9,0.29,1.82
2011-11-21,0.00,25.7,27.4,29.0,21.5,0.74,1.72
2011-11-22,0.00,23.5,28.8,34.1,25.2,0.26,1.75
2011-11-23,0.00,24.7,31.8,38.8,28.4,0.14,2.23
2011-11-24,0.00,31.0,34.5,38.0,33.7,0.19,0.99
2011-11-25,0.00,37.6,44.3,50.9,39.0,0.42,4.45
2011-11-26,0.14,40.4,44.7,49.1,42.2,0.22,2.66
2011-11-27,0.23,32.4,40.1,47.7,39.8,0.08,1.37
2011-11-28,0.00,26.1,29.1,32.1,23.1,0.88,1.75
2011-11-29,0.00,25.8,29.2,32.6,23.9,0.65,1.94
2011-11-30,0.00,17.1,26.4,35.6,17.2,0.36,3.80
2011-12-01,0.05,17.9,29.7,41.6,19.2,0.27,6.19
2011-12-02,0.00,12.1,22.9,33.6,19.8,0.30,1.94
2011-12-03,0.03,11.4,22.2,33.0,19.2,0.23,2.84
2011-12-04,0.45,31.6,32.8,34.0,32.3,0.05,0.53
2011-12-05,0.06,25.7,29.8,33.9,27.6,0.21,1.04
2011-12-06,0.00,14.4,21.1,27.8,17.8,0.28,1.61
2011-12-07,0.00,12.4,17.9,23.5,14.0,0.26,1.38
2011-12-08,0.00,13.8,17.9,22.0,12.8,0.30,1.15
2011-12-09,0.00,5.9,14.4,22.9,5.4,0.50,2.17
2011-12-10,0.00,1.0,7.4,13.7,-0.8,0.27,1.25
2011-12-11,0.00,2.4,12.9,23.5,10.6,0.22,1.79
2011-12-12,0.00,20.2,30.8,41.4,27.7,0.14,3.96
2011-12-13,0.15,32.7,34.3,35.8,33.2,0.06,0.60
2011-12-14,0.07,32.6,34.8,37.1,33.0,0.06,0.84
2011-12-15,0.39,32.8,34.5,36.2,34.5,0.03,0.63
2011-12-16,0.00,20.6,27.3,34.0,20.4,0.28,1.83
2011-12-17,0.00,13.0,18.6,24.1,13.0,0.32,1.56
2011-12-18,0.00,12.5,20.1,27.7,19.1,0.14,1.01
2011-12-19,0.00,18.1,29.2,40.4,27.5,0.22,3.48
2011-12-20,0.00,27.2,31.3,35.4,21.8,0.98,2.63
2011-12-21,0.00,21.2,26.9,32.6,21.2,0.22,2.49
2011-12-22,0.00,23.5,27.3,31.2,24.1,0.17,1.73
2011-12-23,0.00,9.4,19.0,28.6,13.1,0.33,2.11
2011-12-24,0.04,11.2,18.6,26.0,17.7,0.18,1.35
2011-12-25,0.00,12.9,23.5,34.1,21.6,0.17,2.44
2011-12-26,0.00,21.7,28.7,35.8,23.7,0.35,2.49
2011-12-27,0.00,22.7,33.0,43.2,25.0,0.36,5.76
2011-12-28,0.00,11.4,23.8,36.1,13.5,0.44,2.46
2011-12-29,0.03,9.0,15.9,22.9,12.3,0.24,1.53
2011-12-30,0.01,18.0,24.7,31.4,22.7,0.17,1.31
2011-12-31,0.00,12.3,21.3,30.3,17.6,0.23,1.78
2012-01-01,0.27,14.7,23.2,31.7,23.2,0.10,1.19
2012-01-02,0.00,13.4,21.8,30.2,17.0,0.34,1.36
2012-01-03,0.00,-1.5,8.1,17.6,1.8,0.27,1.35
2012-01-04,0.00,-3.2,7.8,18.7,4.1,0.22,1.64
2012-01-05,0.00,14.9,21.9,29.0,16.2,0.27,1.89
2012-01-06,0.00,15.5,28.4,41.4,27.2,0.21,3.20
2012-01-07,0.00,30.2,36.3,42.3,27.3,1.28,3.90
2012-01-08,0.00,20.0,26.5,33.1,18.9,0.37,2.91
2012-01-09,0.00,19.5,27.9,36.3,23.3,0.29,2.89
2012-01-10,0.00,20.8,31.5,42.2,24.9,0.27,4.28
2012-01-11,0.00,19.5,33.2,46.9,27.4,0.18,5.27
2012-01-12,0.13,21.2,32.5,43.8,27.5,0.24,3.74
2012-01-13,0.16,15.3,18.1,20.8,12.8,0.38,0.98
2012-01-14,0.00,10.4,14.2,18.0,7.1,0.51,1.28
2012-01-15,0.00,9.9,12.6,15.4,6.1,0.43,1.03
2012-01-16,0.00,15.6,22.6,29.7,19.7,0.31,1.95
2012-01-17,0.00,21.3,27.2,33.1,22.1,0.31,1.83
2012-01-18,0.04,-5.7,8.3,22.3,4.2,0.20,1.23
2012-01-19,0.00,-8.5,5.0,18.5,0.3,0.17,1.66
2012-01-20,0.02,-14.2,-7.6,-1.0,-18.4,0.20,0.87
2012-01-21,0.01,-9.3,-1.8,5.6,-7.5,0.16,0.86
2012-01-22,0.02,-10.0,4.8,19.6,1.7,0.17,1.85
2012-01-23,0.25,19.2,24.4,29.7,23.3,0.04,0.99
2012-01-24,0.09,21.1,25.4,29.7,22.3,0.17,1.02
2012-01-25,0.00,10.8,18.1,25.3,14.3,0.15,1.46
2012-01-26,0.00,15.3,22.8,30.4,21.7,0.19,1.56
2012-01-27,0.02,20.0,26.4,32.9,25.9,0.10,1.88
2012-01-28,0.02,16.5,26.1,35.6,20.3,0.23,3.97
2012-01-29,0.00,8.6,16.2,23.8,12.3,0.17,1.54
2012-01-30,0.01,4.4,11.5,18.7,4.3,0.27,1.57
2012-01-31,0.00,15.5,22.8,30.2,18.4,0.27,1.99
2012-02-01,0.00,25.1,33.6,42.1,29.4,0.42,3.26
2012-02-02,0.00,25.1,29.6,34.2,27.2,0.03,1.46
2012-02-03,0.00,27.7,30.1,32.6,28.4,0.12,0.96
2012-02-04,0.00,13.5,24.7,35.8,22.8,0.10,2.27
2012-02-05,0.00,14.1,28.6,43.2,21.8,0.17,5.33
2012-02-06,0.00,19.9,27.6,35.4,24.3,0.20,2.21
2012-02-07,0.00,22.4,27.9,33.3,24.8,0.23,1.56
2012-02-08,0.00,8.9,18.1,27.3,8.5,0.57,2.83
2012-02-09,0.00,8.3,18.6,28.8,1.5,0.69,3.91
2012-02-10,0.07,12.4,22.7,33.1,15.4,0.31,3.78
2012-02-11,0.00,1.4,9.8,18.1,-0.7,0.48,1.65
2012-02-12,0.00,0.7,7.3,13.9,-5.3,0.64,1.60
2012-02-13,0.00,5.0,16.0,27.0,-0.6,0.68,3.27
2012-02-14,0.06,5.0,16.9,28.7,16.9,0.15,2.48
2012-02-15,0.00,25.4,28.1,30.8,25.6,0.24,1.31
2012-02-16,0.00,24.5,30.7,36.9,27.4,0.18,2.27
2012-02-17,0.00,21.0,29.1,37.2,21.7,0.26,3.55
2012-02-18,0.01,19.7,26.8,33.9,23.6,0.22,1.66
2012-02-19,0.00,9.4,20.3,31.2,12.5,0.27,3.12
2012-02-20,0.00,10.3,23.6,37.0,14.3,0.29,4.23
2012-02-21,0.04,14.6,26.3,38.0,20.6,0.30,4.61
2012-02-22,0.07,26.2,30.8,35.4,26.8,0.13,1.85
2012-02-23,0.00,17.7,25.3,32.9,19.7,0.28,2.55
2012-02-24,0.02,19.4,27.5,35.5,19.8,0.42,3.44
2012-02-25,0.00,15.9,22.7,29.4,16.6,0.66,1.84
2012-02-26,0.00,14.3,21.4,28.5,12.7,0.59,2.50
2012-02-27,0.00,21.5,30.5,39.5,21.2,0.96,3.56
2012-02-28,0.00,17.9,24.6,31.3,16.4,0.45,2.81
2012-02-29,0.82,23.7,28.4,33.0,25.2,0.19,2.36
2012-03-01,0.17,28.8,31.1,33.5,29.7,0.13,0.74
2012-03-02,0.00,24.3,28.5,32.8,27.6,0.03,1.28
2012-03-03,0.02,26.0,29.7,33.4,26.9,0.15,1.44
2012-03-04,0.05,15.1,22.3,29.5,19.7,0.30,1.59
2012-03-05,0.00,9.5,17.4,25.4,10.7,0.29,2.16
2012-03-06,0.00,10.3,20.2,30.2,17.5,0.28,2.56
2012-03-07,0.00,22.6,36.0,49.5,32.5,0.25,5.51
2012-03-08,0.03,28.9,39.4,49.9,36.4,0.17,3.96
2012-03-09,0.00,16.3,24.4,32.4,15.7,0.69,3.24
2012-03-10,0.00,15.9,22.4,28.8,8.1,0.95,3.56
2012-03-11,0.00,29.3,44.3,59.3,25.6,2.10,12.48
2012-03-12,0.36,40.8,51.4,62.1,32.6,0.22,13.72
2012-03-13,0.07,37.6,44.9,52.2,42.2,0.13,3.46
2012-03-14,0.00,34.9,46.3,57.7,26.8,1.52,12.43
2012-03-15,0.00,39.6,56.4,73.1,47.5,0.08,13.49
2012-03-16,0.00,37.7,51.3,64.9,38.4,1.24,11.24
2012-03-17,0.03,38.6,54.8,71.0,49.1,0.84,13.14
2012-03-18,0.00,54.9,66.1,77.3,54.8,1.08,17.68
2012-03-19,0.00,54.7,66.3,77.9,54.3,0.92,18.89
2012-03-20,0.01,56.4,65.5,74.5,56.2,1.03,13.45
2012-03-21,0.00,56.9,66.7,76.5,52.1,1.74,17.57
2012-03-22,0.02,55.9,65.2,74.4,53.2,1.78,15.69
2012-03-23,0.19,52.8,61.2,69.7,53.8,0.32,10.64
2012-03-24,0.15,52.2,56.4,60.6,54.1,0.31,2.65
2012-03-25,0.00,47.9,55.0,62.1,51.2,0.41,5.14
2012-03-26,0.00,27.0,43.7,60.5,28.5,0.72,13.05
2012-03-27,0.00,27.6,35.6,43.7,21.9,1.52,6.18
2012-03-28,0.00,40.7,55.3,69.9,38.0,2.86,16.93
2012-03-29,0.00,30.0,40.8,51.6,30.2,0.79,7.03
2012-03-30,0.12,31.7,40.2,48.7,28.3,0.25,6.61
2012-03-31,0.03,33.2,35.3,37.5,33.9,0.07,0.89
2012-04-01,0.00,33.8,37.4,41.1,36.1,0.02,1.51
2012-04-02,0.00,39.0,50.6,62.1,38.7,0.46,11.60
2012-04-03,0.18,39.3,48.5,57.6,36.8,0.58,8.94
2012-04-04,0.00,31.3,45.0,58.7,33.8,0.63,10.58
2012-04-05,0.00,29.5,45.4,61.3,24.8,0.95,14.87
2012-04-06,0.00,26.6,39.8,53.1,22.5,1.09,9.99
2012-04-07,0.00,30.5,43.2,55.9,26.0,1.13,10.60
2012-04-08,0.06,34.7,48.2,61.6,33.9,0.49,12.86
2012-04-09,0.00,35.4,46.0,56.7,24.1,2.19,11.49
2012-04-10,0.00,28.2,37.1,45.9,18.4,1.98,6.71
2012-04-11,0.00,28.2,34.1,39.9,17.2,1.53,5.20
2012-04-12,0.00,28.1,40.9,53.6,26.6,0.33,9.27
2012-04-13,0.00,33.0,46.0,59.0,28.0,0.71,12.53
2012-04-14,0.10,39.8,49.0,58.2,36.1,0.46,11.15
2012-04-15,0.33,49.3,60.6,71.8,45.4,0.63,18.67
2012-04-16,0.09,51.6,62.4,73.2,54.9,0.19,12.08
2012-04-17,0.06,27.8,40.7,53.6,28.7,0.37,3.84
2012-04-18,0.22,31.7,41.9,52.0,31.7,0.51,7.60
2012-04-19,0.07,34.6,48.7,62.9,39.7,0.64,10.04
2012-04-20,0.80,32.3,39.1,45.9,33.0,0.08,4.28
2012-04-21,0.00,28.6,40.8,53.1,25.8,0.60,9.36
2012-04-22,0.00,32.8,43.1,53.3,26.2,1.85,9.16
2012-04-23,0.00,35.2,45.6,55.9,27.1,1.10,11.16
2012-04-24,0.00,33.0,45.6,58.2,23.1,1.56,12.91
2012-04-25,0.00,41.0,53.1,65.1,28.6,2.78,16.27
2012-04-26,0.11,42.5,45.1,47.7,39.0,0.61,5.57
2012-04-27,0.00,26.4,37.8,49.3,24.2,0.56,8.17
2012-04-28,0.00,34.9,45.1,55.3,21.5,1.90,11.35
2012-04-29,0.00,30.8,40.1,49.4,29.0,0.50,6.73
2012-04-30,0.32,36.5,47.6,58.7,31.5,0.12,12.50
2012-05-01,0.00,37.1,43.0,48.9,41.5,0.02,2.24
2012-05-02,0.61,42.7,55.9,69.2,49.5,0.06,13.55
2012-05-03,0.24,56.8,67.4,78.0,57.5,0.29,19.25
2012-05-04,0.38,51.8,63.5,75.3,57.6,0.15,12.62
2012-05-05,0.12,45.6,57.5,69.4,46.8,0.41,13.35
2012-05-06,0.47,45.7,54.4,63.0,47.8,0.18,7.54
2012-05-07,0.60,44.2,48.4,52.6,46.9,0.03,1.64
2012-05-08,0.00,44.7,56.5,68.3,45.7,0.15,13.21
2012-05-09,0.05,42.5,51.7,60.9,43.7,0.43,8.87
2012-05-10,0.00,35.1,49.4,63.7,33.4,0.52,14.87
2012-05-11,0.00,44.0,56.0,68.1,35.8,2.41,17.00
2012-05-12,0.00,49.3,62.1,74.8,47.9,1.70,15.65
2012-05-13,0.00,38.7,52.8,66.9,35.4,0.50,16.59
2012-05-14,0.00,44.4,57.7,71.0,35.7,1.99,19.47
2012-05-15,0.00,56.1,67.4,78.7,42.3,6.48,24.70
2012-05-16,0.00,40.0,57.4,74.9,39.1,0.79,22.37
2012-05-17,0.00,39.3,52.4,65.5,33.6,1.05,15.95
2012-05-18,0.01,46.3,58.6,71.0,40.6,2.69,17.42
2012-05-19,0.00,53.5,68.7,83.8,45.9,3.73,29.14
2012-05-20,0.00,64.2,75.4,86.7,54.3,6.15,30.22
2012-05-21,0.04,42.8,62.9,82.9,51.5,0.73,20.99
2012-05-22,0.00,40.2,54.7,69.2,37.1,0.84,17.86
2012-05-23,0.00,49.1,60.9,72.7,39.5,3.36,19.62
2012-05-24,0.00,57.2,67.7,78.3,44.5,6.58,24.14
2012-05-25,0.50,50.0,68.1,86.1,54.7,0.20,28.72
2012-05-26,0.00,54.0,62.5,71.0,49.0,0.89,15.46
2012-05-27,0.77,56.6,62.1,67.7,57.4,0.17,8.63
2012-05-28,0.00,61.6,72.0,82.4,64.1,1.48,14.95
2012-05-29,0.25,53.3,66.5,79.7,57.6,1.74,16.58
2012-05-30,0.00,47.3,55.4,63.5,44.1,1.72,10.55
2012-05-31,0.00,44.1,50.3,56.5,39.9,1.47,7.80
2012-06-01,0.00,38.4,49.6,60.8,38.0,0.42,11.48
2012-06-02,0.00,43.1,55.6,68.0,38.1,1.09,16.72
2012-06-03,0.00,51.1,62.9,74.6,40.8,3.18,22.10
2012-06-04,0.00,54.3,66.6,78.9,47.4,1.86,24.93
2012-06-05,0.00,53.5,64.6,75.6,53.3,0.66,16.65
2012-06-06,0.00,46.7,58.9,71.1,50.7,0.51,12.92
2012-06-07,0.00,47.9,61.3,74.8,46.7,0.62,19.58
2012-06-08,0.00,59.2,69.6,80.1,52.6,2.71,22.27
2012-06-09,0.06,63.6,72.9,82.1,58.5,2.64,20.53
2012-06-10,0.00,63.3,75.4,87.5,55.4,5.14,30.06
2012-06-11,0.06,67.0,77.1,87.2,59.0,2.43,28.59
2012-06-12,0.00,50.6,67.1,83.5,51.8,2.05,25.83
2012-06-13,0.00,41.7,54.3,66.9,40.6,0.47,15.04
2012-06-14,0.00,50.7,62.2,73.6,44.7,2.59,19.29
2012-06-15,0.77,56.7,63.2,69.8,53.4,1.11,11.37
2012-06-16,0.00,65.0,74.8,84.7,61.0,3.01,21.20
2012-06-17,0.31,58.1,67.7,77.3,62.4,0.40,13.74
2012-06-18,0.72,62.9,70.6,78.3,55.9,0.57,20.40
2012-06-19,1.17,65.1,73.6,82.2,69.6,0.12,11.08
2012-06-20,0.18,64.7,76.9,89.0,66.9,0.71,24.41
2012-06-21,0.89,61.5,74.8,88.1,65.4,0.12,22.91
2012-06-22,0.00,56.5,65.6,74.8,54.9,1.46,15.93
2012-06-23,0.00,53.8,65.8,77.8,54.2,0.52,19.27
2012-06-24,0.04,60.9,68.9,76.9,60.6,1.30,14.18
2012-06-25,0.00,48.7,64.6,80.6,53.6,2.19,17.95
2012-06-26,0.00,48.9,61.8,74.7,47.2,0.60,18.86
2012-06-27,0.00,57.7,68.3,78.9,51.5,2.72,22.23
2012-06-28,0.00,67.8,78.4,88.9,63.7,1.40,26.83
2012-06-29,0.00,61.6,72.7,83.7,60.4,3.00,23.75
2012-06-30,0.00,62.9,74.3,85.8,58.1,1.84,26.89
2012-07-01,0.00,59.6,72.5,85.4,57.5,1.28,27.58
2012-07-02,0.00,65.9,76.9,88.0,60.4,3.55,28.58
2012-07-03,0.56,66.2,79.7,93.2,67.7,1.36,28.79
2012-07-04,0.03,68.7,79.5,90.4,69.1,1.39,24.25
2012-07-05,0.00,72.9,84.3,95.7,71.1,3.09,32.02
2012-07-06,0.00,65.3,79.5,93.8,69.5,0.75,27.05
2012-07-07,0.00,65.6,80.6,95.6,67.0,1.75,32.89
2012-07-08,0.00,62.5,72.7,82.9,59.2,1.89,22.40
2012-07-09,0.12,60.2,73.1,86.0,59.7,0.54,26.82
2012-07-10,0.00,56.2,69.5,82.9,54.8,0.52,26.51
2012-07-11,0.00,56.0,69.1,82.2,54.5,1.28,25.03
2012-07-12,0.00,57.6,71.6,85.6,53.3,1.95,29.69
2012-07-13,0.00,60.0,73.8,87.6,54.3,2.61,32.88
2012-07-14,0.00,65.9,77.6,89.3,61.5,2.72,30.16
2012-07-15,0.00,64.6,74.7,84.8,65.1,0.79,20.05
2012-07-16,0.00,66.4,78.9,91.3,64.0,1.63,33.53
2012-07-17,0.00,72.9,84.5,96.1,64.0,5.16,41.22
2012-07-18,0.24,61.6,75.0,88.3,67.4,0.39,20.92
2012-07-19,1.55,61.2,68.4,75.5,62.4,0.58,11.16
2012-07-20,0.00,54.3,64.0,73.7,57.6,0.45,12.12
2012-07-21,0.00,61.9,71.9,81.8,59.6,1.91,20.30
2012-07-22,0.00,64.2,75.9,87.5,65.1,1.12,23.97
2012-07-23,0.00,68.9,78.7,88.5,66.4,1.30,25.26
2012-07-24,0.00,68.8,80.6,92.5,63.6,3.23,35.41
2012-07-25,0.04,66.3,74.8,83.4,63.1,2.37,20.56
2012-07-26,0.00,68.3,78.8,89.4,68.0,1.05,23.14
2012-07-27,0.02,62.4,73.9,85.4,61.1,0.61,26.84
2012-07-28,0.07,55.8,66.4,77.1,58.6,0.31,14.80
2012-07-29,0.00,60.8,72.0,83.2,56.3,1.16,26.55
2012-07-30,0.00,61.4,71.6,81.8,62.9,0.12,17.35
2012-07-31,0.00,62.3,76.5,90.6,63.2,0.90,28.65
2012-08-01,0.00,54.3,68.7,83.1,56.6,0.40,24.32
2012-08-02,0.01,62.0,75.7,89.3,62.3,2.17,31.37
2012-08-03,0.00,63.2,74.8,86.5,62.2,0.31,26.67
2012-08-04,0.38,63.8,75.6,87.3,64.3,0.24,28.58
2012-08-05,0.10,58.2,66.8,75.5,61.8,1.05,9.17
2012-08-06,0.00,51.4,63.0,74.6,49.0,0.67,18.63
2012-08-07,0.00,59.0,70.1,81.2,54.8,2.14,23.27
2012-08-08,0.00,55.8,69.6,83.5,53.9,1.78,27.74
2012-08-09,0.45,58.6,66.2,73.8,57.9,0.17,13.38
2012-08-10,0.42,54.9,59.7,64.6,57.1,0.44,4.05
2012-08-11,0.00,48.8,61.0,73.2,48.2,1.13,16.88
2012-08-12,0.00,52.1,63.9,75.6,49.8,0.68,18.74
2012-08-13,0.00,56.5,63.8,71.0,54.4,1.47,13.42
2012-08-14,0.00,56.4,67.8,79.2,55.8,0.31,21.94
2012-08-15,0.00,53.6,65.2,76.9,52.0,0.76,20.18
2012-08-16,0.02,58.9,70.0,81.1,58.0,1.59,20.83
2012-08-17,0.00,49.4,60.0,70.5,52.7,0.63,11.95
2012-08-18,0.00,43.7,57.7,71.7,42.1,0.52,18.94
2012-08-19,0.02,51.3,63.1,74.8,48.8,1.00,19.42
2012-08-20,0.00,45.2,59.5,73.9,46.4,1.05,18.81
2012-08-21,0.00,48.5,61.0,73.4,44.8,1.03,18.99
2012-08-22,0.00,47.8,63.4,79.0,47.8,0.70,23.66
2012-08-23,0.00,57.9,70.8,83.8,53.1,3.07,27.79
2012-08-24,0.00,65.1,75.5,86.0,59.6,3.22,26.56
2012-08-25,0.00,57.6,71.9,86.2,59.1,1.40,26.16
2012-08-26,0.37,64.6,76.7,88.8,58.9,0.78,33.74
2012-08-27,0.11,57.8,68.0,78.2,62.9,0.14,11.34
2012-08-28,0.00,54.4,68.8,83.3,54.6,0.41,25.56
2012-08-29,0.00,57.5,68.9,80.2,56.8,0.69,20.79
2012-08-30,0.00,62.2,74.1,85.9,62.3,2.15,23.06
2012-08-31,0.00,66.3,78.8,91.3,61.7,3.35,32.97
2012-09-01,0.00,55.8,70.0,84.3,51.3,2.32,29.10
2012-09-02,0.00,54.4,67.5,80.7,50.8,0.76,23.75
2012-09-03,0.00,59.4,71.5,83.6,59.3,1.19,22.78
2012-09-04,0.00,61.4,71.3,81.3,65.7,0.10,12.76
2012-09-05,0.39,57.0,71.9,86.8,61.7,0.10,25.93
2012-09-06,0.00,52.2,65.7,79.2,54.4,0.47,19.91
2012-09-07,0.05,55.4,66.7,78.0,50.2,1.32,23.03
2012-09-08,0.32,46.3,55.4,64.5,50.2,0.22,8.56
2012-09-09,0.39,47.7,57.0,66.4,49.7,0.22,11.13
2012-09-10,0.00,42.7,55.9,69.1,45.8,0.17,14.44
2012-09-11,0.00,46.5,60.7,74.9,49.4,0.54,17.72
2012-09-12,0.00,57.2,70.8,84.4,53.7,3.03,27.19
2012-09-13,0.12,50.6,61.9,73.3,46.5,0.49,19.23
2012-09-14,0.01,42.1,54.0,65.9,42.6,0.23,14.43
2012-09-15,0.00,42.8,56.7,70.6,39.3,0.26,18.66
2012-09-16,0.00,49.0,62.7,76.4,44.8,1.74,21.61
2012-09-17,0.00,51.7,64.0,76.3,47.9,1.74,20.84
2012-09-18,0.29,36.2,47.5,58.7,45.0,0.17,5.02
2012-09-19,0.00,32.6,43.7,54.7,31.8,0.22,9.86
2012-09-20,0.06,42.1,54.1,66.1,41.9,0.63,11.42
2012-09-21,0.06,39.7,49.2,58.7,40.2,0.33,8.83
2012-09-22,0.22,34.4,46.0,57.5,39.8,0.01,8.29
2012-09-23,0.00,33.1,44.1,55.1,34.6,0.16,8.61
2012-09-24,0.00,33.2,44.2,55.3,30.7,0.51,9.47
2012-09-25,0.00,37.9,54.1,70.4,35.9,0.95,18.43
2012-09-26,0.00,35.3,50.6,65.9,38.2,0.23,14.00
2012-09-27,0.00,34.0,46.6,59.2,33.3,0.16,11.14
2012-09-28,0.00,34.5,48.5,62.5,36.3,0.19,12.17
2012-09-29,0.00,37.7,53.0,68.4,37.2,0.38,16.91
2012-09-30,0.00,38.6,56.3,74.0,37.4,0.31,22.32
2012-10-01,0.00,39.5,53.2,66.8,39.6,0.44,15.12
2012-10-02,0.00,42.5,56.1,69.7,44.8,0.32,15.41
